State,AvgMedianPrice
Alabama,271826.0869565217
Alaska,355260.8695652174
Arizona,433869.5652173913
Arkansas,238652.1739130435
California,770260.8695652174
Colorado,581608.695652174
Columbia,643391.304347826
Connecticut,373869.5652173913
Delaware,321391.3043478261
Florida,395826.0869565217
Georgia,355347.82608695654
Hawaii,712521.7391304348
Idaho,473391.3043478261
Illinois,265521.73913043475
Indiana,241260.86956521738
Iowa,217391.30434782608
Kansas,261652.1739130435
Kentucky,241913.04347826086
Louisiana,243695.65217391305
Maine,357173.9130434783
Maryland,398130.4347826087
Massachusetts,581695.6521739131
Michigan,239260.86956521738
Minnesota,333565.2173913043
Mississippi,242434.78260869565
Missouri,244130.4347826087
Montana,494130.4347826087
Nebraska,271652.17391304346
Nevada,435478.26086956525
New Hampshire,431565.2173913043
New Jersey,459130.4347826087
New Mexico,319782.60869565216
New York,512217.39130434784
North Carolina,357521.73913043475
North Dakota,253869.5652173913
Ohio,225130.4347826087
Oklahoma,232260.86956521738
Oregon,500521.73913043475
Pennsylvania,269565.2173913043
Rhode Island,434695.652173913
South Carolina,356521.73913043475
South Dakota,303782.60869565216
Tennessee,363043.47826086957
Texas,346521.73913043475
Utah,535826.0869565217
Vermont,367869.5652173913
Virginia,410000.0
Washington,605043.4782608695
West Virginia,231695.65217391305
Wisconsin,279347.82608695654
Wyoming,409173.9130434783
